ciclo,suporte_vida,energia,comunicacao,habitat,laboratorio,armazenamento,geracao_solar_kwh,geracao_eolica_kwh,consumo_total_kwh,reserva_energia_pct,temperatura_externa_c,radiacao_nivel,qualidade_comunicacao_pct,velocidade_vento_ms
1,1,1,1,1,1,1,28.5,12.0,35.2,85.0,-45.0,22.0,98.0,6.2
2,1,1,1,1,1,1,30.1,10.5,36.8,82.0,-48.0,25.0,97.0,5.8
3,1,1,1,1,1,1,27.8,14.2,38.5,78.0,-52.0,28.0,95.0,7.1
4,1,1,1,1,1,1,25.5,13.8,42.1,72.0,-55.0,30.0,94.0,6.9
5,1,1,1,1,1,1,18.2,11.5,40.5,65.0,-58.0,35.0,92.0,5.5
6,1,1,1,1,1,1,15.8,9.2,39.8,58.0,-60.0,42.0,88.0,4.8
7,1,1,1,1,1,1,14.5,18.5,41.2,52.0,-62.0,55.0,85.0,9.2
8,1,1,1,1,1,1,13.8,16.2,43.5,46.0,-65.0,68.0,0.0,8.5
9,1,1,0,1,1,1,12.5,14.8,44.2,40.0,-68.0,75.0,0.0,7.8
10,1,1,0,1,1,0,10.2,12.5,42.8,32.0,-70.0,82.0,0.0,6.5
11,1,1,0,1,0,0,8.5,10.8,38.5,24.0,-72.0,88.0,0.0,5.8
12,1,1,0,1,0,0,6.2,8.5,35.2,16.0,-75.0,92.0,0.0,4.5
